name,address,city,state,category,verified,latitude,longitude
Dunkin',150 Main St,Concord,NH,Cafe,true,43.203142,-71.537572
McDonald's,540 Commonwealth Ave,Boston,MA,Fast Food,true,42.350298,-71.103683
McDonald's,14 Bridge St,Nashua,NH,Fast Food,true,42.763741,-71.465953
McDonald's,187 S Main St,West Hartford,CT,Fast Food,true,41.756499,-72.747655
McDonald's,1465 Main St,Springfield,MA,Fast Food,true,42.098833,-72.589506
McDonald's,250 Kennedy Memorial Dr,Waterville,ME,Fast Food,true,44.538239,-69.657722
McDonald's,409 Putnam Pike,Smithfield,RI,Fast Food,true,41.872638,-71.540993
McDonald's,221 Main St,Burlington,VT,Fast Food,true,44.476981,-73.214546
McDonald's,285 Maple St,Manchester,NH,Fast Food,true,42.989184,-71.466568
McDonald's,203 S Main St,Concord,NH,Fast Food,true,43.197212,-71.537097
McDonald's,2320 Berlin Tpke,Newington,CT,Fast Food,true,41.681802,-72.727971
McDonald's,61 Main St,Bangor,ME,Fast Food,true,44.800884,-68.773039
McDonald's,633 Broadway,South Portland,ME,Fast Food,true,43.636736,-70.264040
McDonald's,95 Talcott Rd,Williston,VT,Fast Food,true,44.437814,-73.094424
McDonald's,175 N Main St,Barre,VT,Fast Food,true,44.201445,-72.502028
Panera Bread,1154 Beacon St,Brookline,MA,Bakery Cafe,true,42.343054,-71.123324
Panera Bread,343 S Broadway,Salem,NH,Bakery Cafe,true,42.765932,-71.227082
Panera Bread,253 Hartford Ave,Bellingham,MA,Bakery Cafe,true,42.082893,-71.474271
Panera Bread,267 Hartford Turnpike,Vernon,CT,Bakery Cafe,true,41.825097,-72.507856
Panera Bread,1200 Post Rd E,Westport,CT,Bakery Cafe,true,41.132144,-73.338742
Panera Bread,201 Needham St,Newton,MA,Bakery Cafe,true,42.313792,-71.206854
Panera Bread,343 Main St,Watertown,MA,Bakery Cafe,true,42.370510,-71.182053
Panera Bread,89 Marginal Way,Portland,ME,Bakery Cafe,true,43.662103,-70.259684
Panera Bread,1235 Dixwell Ave,Hamden,CT,Bakery Cafe,true,41.370934,-72.924054
Panera Bread,1200 Shelburne Rd,South Burlington,VT,Bakery Cafe,true,44.437370,-73.206908
Panera Bread,933 North Main St,West Hartford,CT,Bakery Cafe,true,41.778785,-72.740168
Boston Public Library,700 Boylston St,Boston,MA,Library,true,42.3493,-71.0780
Providence Public Library,150 Empire St,Providence,RI,Library,true,41.8237,-71.4158
Hartford Public Library,500 Main St,Hartford,CT,Library,true,41.765724,-72.675155
Manchester City Library,405 Pine St,Manchester,NH,Library,true,42.9907,-71.4637
Portland Public Library,5 Monument Sq,Portland,ME,Library,true,43.6561,-70.2606
Nashua Public Library,2 Court St,Nashua,NH,Library,true,42.7617,-71.4676
Bangor Public Library,145 Harlow St,Bangor,ME,Library,true,44.8035,-68.7717
Burlington Town Center,49 Church St,Burlington,VT,Shopping,true,44.4784,-73.2121
Springfield City Library,220 State St,Springfield,MA,Library,true,42.1049,-72.5887
New Haven Free Public Library,133 Elm St,New Haven,CT,Library,true,41.3081,-72.9301
