name,address,category,latitude,longitude,isFree,wifiPassword,description,isVerified,moderationStatus,submittedBy
Boston Public Library,700 Boylston St Boston MA,Library,42.3493,-71.0780,true,,Central library with free WiFi throughout all floors,true,approved,system
Providence Public Library,150 Empire St Providence RI,Library,41.8237,-71.4158,true,,Main library branch with comprehensive WiFi coverage,true,approved,system
Hartford Public Library,500 Main St Hartford CT,Library,41.765724,-72.675155,true,,Hartford main library with high-speed internet access,true,approved,system
Manchester City Library,405 Pine St Manchester NH,Library,42.9907,-71.4637,true,,Main branch of Manchester library system with WiFi,true,approved,system
Portland Public Library,5 Monument Sq Portland ME,Library,43.6561,-70.2606,true,,Historic library in downtown Portland with free WiFi,true,approved,system
Nashua Public Library,2 Court St Nashua NH,Library,42.7617,-71.4676,true,,Modern library facility with high-speed WiFi,true,approved,system
Bangor Public Library,145 Harlow St Bangor ME,Library,44.8035,-68.7717,true,,Community library with free internet access,true,approved,system
Burlington Town Center,49 Church St Burlington VT,Shopping,44.4784,-73.2121,true,,Downtown shopping area with public WiFi access,true,approved,system
Springfield City Library,220 State St Springfield MA,Library,42.1049,-72.5887,true,,Springfield main library with study areas and WiFi,true,approved,system
New Haven Free Public Library,133 Elm St New Haven CT,Library,41.3081,-72.9301,true,,New Haven central library with free internet access,true,approved,system
